0,50,100,150,200,250,300,350
0,0.51832,1.03664,1.55496,2.07328,2.5916,3.10992,3.62824
0,0.660391111,1.320782222,1.981173333,2.641564444,3.301955556,3.962346667,4.622737778
0,0.802462222,1.604924444,2.407386667,3.209848889,4.012311111,4.814773333,5.617235556
0,0.944533333,1.889066667,2.8336,3.778133333,4.722666667,5.6672,6.611733333
0,1.086604444,2.173208889,3.259813333,4.346417778,5.433022222,6.519626667,7.606231111
0,1.228675556,2.457351111,3.686026667,4.914702222,6.143377778,7.372053333,8.600728889
0,1.370746667,2.741493333,4.11224,5.482986667,6.853733333,8.22448,9.595226667
0,1.512817778,3.025635556,4.538453333,6.051271111,7.564088889,9.076906667,10.58972444
0,1.654888889,3.309777778,4.964666667,6.619555556,8.274444444,9.929333333,11.58422222
0,1.79696,3.59392,5.39088,7.18784,8.9848,10.78176,12.57872